Date,Open,High,Low,Close,Volume
1/1/2021,0.181702,0.18497,0.15,0.17555,37647576.99
1/2/2021,0.175445,0.18474,0.168805,0.177523,46669709.16
1/3/2021,0.177498,0.21,0.173146,0.206796,59779167.07
1/4/2021,0.206551,0.242435,0.19,0.2261,95670109.21
1/5/2021,0.22575,0.265041,0.205755,0.259869,76772436.19
1/6/2021,0.26,0.347344,0.254383,0.334207,124962746.3
1/7/2021,0.334724,0.356369,0.25,0.299293,98567503.25
1/8/2021,0.299905,0.321206,0.26065,0.304143,107056407.7
1/9/2021,0.304499,0.339332,0.29655,0.331768,44255720.74
1/10/2021,0.332377,0.341851,0.28,0.30154,56275102.83
1/11/2021,0.302257,0.303377,0.229,0.275419,93505387.42
1/12/2021,0.276339,0.314971,0.263095,0.288926,64666009.5
1/13/2021,0.288828,0.315841,0.270381,0.312503,45137276.88
1/14/2021,0.312978,0.324492,0.2964,0.311178,46815551.05
1/15/2021,0.311177,0.331081,0.277155,0.302767,66511158.6
1/16/2021,0.302216,0.367178,0.3018,0.350409,86317380.12
1/17/2021,0.350126,0.397681,0.341297,0.381833,96473516.56
1/18/2021,0.382814,0.396918,0.363808,0.370589,43892163.25
1/19/2021,0.371,0.384998,0.362625,0.368518,38730039.45
1/20/2021,0.368019,0.377257,0.330301,0.375427,54081402.74
1/21/2021,0.376,0.379446,0.3,0.308,61162327.32
1/22/2021,0.30793,0.35975,0.278,0.349574,79956842.69
1/23/2021,0.348822,0.357881,0.335731,0.34562,25295211.28
1/24/2021,0.345809,0.369651,0.336359,0.353761,28758724.82
1/25/2021,0.354089,0.364404,0.340546,0.343,29811352.1
1/26/2021,0.343145,0.350684,0.324363,0.344232,24285057.57
1/27/2021,0.344001,0.344473,0.304203,0.3125,33345607.82
1/28/2021,0.3125,0.356723,0.305031,0.345002,34204982.29
1/29/2021,0.345348,0.369285,0.331501,0.347549,34768234.94
1/30/2021,0.347974,0.377,0.337392,0.364039,35520030.78
1/31/2021,0.362194,0.376967,0.338108,0.345201,31359818.86
2/1/2021,0.345201,0.425,0.333,0.408881,77683109.55
2/2/2021,0.409445,0.456995,0.389257,0.42539,99182920.38
2/3/2021,0.426621,0.45,0.416031,0.44265,43925581.27
2/4/2021,0.44265,0.45,0.410537,0.440175,44952992.67
2/5/2021,0.440186,0.562333,0.437,0.541,118068120
2/6/2021,0.541,0.6689,0.5211,0.635,94283988.51
2/7/2021,0.635,0.709874,0.5816,0.66356,131031153.1
2/8/2021,0.66356,0.7265,0.631348,0.678177,100451800.1
2/9/2021,0.677939,0.712869,0.66432,0.70669,57987420.34
2/10/2021,0.70669,0.953482,0.70669,0.941623,150008459.5
2/11/2021,0.941622,0.982,0.869,0.929935,105515646
2/12/2021,0.931928,0.9481,0.865142,0.928184,79181454.37
2/13/2021,0.927309,0.952956,0.785845,0.9137,60709880.67
2/14/2021,0.913902,0.92,0.809,0.845862,50309650.07
2/15/2021,0.845208,0.912753,0.686233,0.859795,98032603.21
2/16/2021,0.86431,0.906017,0.834078,0.871539,46472012.05
2/17/2021,0.871998,0.899502,0.821721,0.893023,42388761.35
2/18/2021,0.892892,0.9599,0.892892,0.913916,58872423.13
2/19/2021,0.914658,0.947241,0.877,0.926,52118497.6
2/20/2021,0.926,1.198711,0.915,1.116133,175818490
2/21/2021,1.11628,1.15243,1.07,1.10084,47621924.35
2/22/2021,1.101587,1.147,0.156,1.098356,109625420.1
2/23/2021,1.0998,1.14,0.815,0.96314,153061934
2/24/2021,0.960989,1.07769,0.9,1.049579,83435067.8
2/25/2021,1.049225,1.17622,1.015,1.072966,109315015
2/26/2021,1.075448,1.2988,0.99112,1.242939,171827318.7
2/27/2021,1.245074,1.485075,1.23,1.318693,162737363.7
2/28/2021,1.318038,1.364496,1.16,1.315604,118355409
3/1/2021,1.316434,1.354081,1.235006,1.296865,79728772.08
3/2/2021,1.298353,1.301603,1.18,1.225994,76438499.94
3/3/2021,1.225745,1.268576,1.210585,1.215606,42085678.26
3/4/2021,1.21501,1.231524,1.065398,1.112608,84982678.31
3/5/2021,1.112606,1.2,1.033334,1.158052,82617622.2
3/6/2021,1.160116,1.18283,1.0852,1.12848,40848332.51
3/7/2021,1.129999,1.145733,1.106,1.132198,32261998.57
3/8/2021,1.130669,1.179914,1.106004,1.118559,34768150.86
3/9/2021,1.118219,1.221,1.102084,1.199001,50797709.78
3/10/2021,1.199,1.208665,1.115,1.132359,31868635.13
3/11/2021,1.133661,1.14043,1.11,1.125934,23872554.78
3/12/2021,1.128001,1.129496,1.02,1.032901,56298963.11
3/13/2021,1.032843,1.190484,0.983713,1.100964,61583876.08
3/14/2021,1.100964,1.1032,1.05333,1.05333,26572159.4
3/15/2021,1.053001,1.070178,1.0008,1.031434,38092485.1
3/16/2021,1.03258,1.28,1,1.25,107809291.8
3/17/2021,1.249999,1.431586,1.205,1.379147,88934940.27
3/18/2021,1.379592,1.475999,1.2229,1.230974,129914378.1
